PAID,DATE,NGB Name,SPORT,Budget
"54,500.00",09/04/2009,British Curling Association,Curling,Lottery
"39,000.00",09/04/2009,British Bob Skeleton Association,Skeleton,Lottery
"12,250.00",09/04/2009,British Curling Association,Wheelchair Curling,Exchequer
"4,500.00",09/04/2009,British Performance Basketball Ltd,Basketball,Exchequer
"8,000.00",09/04/2009,Disability Snowsport UK,Paralympic Skiing,Exchequer
"15,000.00",09/04/2009,National Ice Skating Association,Figure Skating,Exchequer
"40,000.00",09/04/2009,National Ice Skating Association,Speed Skating,Exchequer
"20,000.00",09/04/2009,British Bobsleigh Ltd,Bobsleigh,Exchequer
"745,000.00",09/04/2009,Sports Aid,,Exchequer
"29,986.00",09/04/2009,British Swimming,Para Swimming,Lottery
"17,408.00",09/04/2009,British Swimming,Para Swimming,Lottery
"33,333.00",09/04/2009,British Swimming,Swimming,Exchequer
"21,424.00",09/04/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,142.00",09/04/2009,British Equestrian Federation,Equestrian,Lottery
"203,326.00",09/04/2009,British Swimming,Swimming,Exchequer
"52,206.00",09/04/2009,British Swimming,Diving,Exchequer
"50,514.00",09/04/2009,British Swimming,Diving,Lottery
"122,463.00",09/04/2009,England Hockey,Hockey,Exchequer
"231,997.00",09/04/2009,British Volleyball Federation,Volleyball,Lottery
"69,383.00",09/04/2009,British Volleyball Federation,Paralympic Volleyball,Lottery
"4,942.00",09/04/2009,British Rowing,Rowing - Adaptive,Lottery
"38,283.00",09/04/2009,British Rowing,Rowing,Lottery
"32,496.00",09/04/2009,Uk Athletics,Disability Athletics,Lottery
"415,954.00",09/04/2009,Uk Athletics,Athletics,Lottery
"12,400.00",09/04/2009,Uk Athletics,Athletics,Lottery
"43,952.00",09/04/2009,British Swimming,Synchronised Swimming,Lottery
"5,217.00",09/04/2009,British Swimming,Diving,Lottery
"26,987.00",09/04/2009,British Swimming,Synchronised Swimming,Exchequer
"93,667.00",09/04/2009,British Performance Basketball Ltd,Basketball,Exchequer
"74,376.00",09/04/2009,Badminton England,Badminton,Exchequer
"90,716.00",09/04/2009,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"20,535.00",09/04/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"4,867.00",09/04/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"66,384.00",09/04/2009,British Judo Association,Judo,Exchequer
"67,311.00",09/04/2009,British Judo Association,Judo,Lottery
"8,064.00",09/04/2009,British Judo Association,Judo - Visually Impaired,Lottery
"9,441.00",09/04/2009,British Judo Association,Judo - Visually Impaired,Exchequer
"33,665.00",09/04/2009,Grand National Archery Society,Archery,Lottery
"14,167.00",09/04/2009,Grand National Archery Society,Archery - Paralympic,Lottery
"50,693.00",09/04/2009,British Shooting,Target Shooting,Lottery
"247,752.00",09/04/2009,British Handball Association,Handball,Lottery
"117,812.00",09/04/2009,British Amateur Boxing Association Ltd,Boxing,Lottery
"23,046.00",09/04/2009,Great Britain Boccia,Boccia,Lottery
"16,029.00",09/04/2009,Great Britain Boccia,Boccia,Exchequer
"54,333.00",09/04/2009,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"23,789.00",09/04/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"14,147.00",09/04/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"38,187.00",09/04/2009,Sport Taekwondo Limited,Taekwondo,Exchequer
"5,144.00",09/04/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"6,258.00",09/04/2009,British Triathlon Federation,Triathlon,Lottery
"22,600.00",09/04/2009,Uk Athletics,Disability Athletics,Lottery
"10,239.00",09/04/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"60,307.00",09/04/2009,British Swimming,Para Swimming,Exchequer
"116,239.00",09/04/2009,British Equestrian Federation,Equestrian,Exchequer
"25,150.00",09/04/2009,British Equestrian Federation,Paralympic Equestrian,Exchequer
"104,320.00",09/04/2009,England Hockey,Hockey,Lottery
"128,080.00",09/04/2009,British Equestrian Federation,Equestrian,Lottery
"47,335.00",09/04/2009,Uk Athletics,Disability Athletics,Exchequer
"12,314.00",09/04/2009,British Rowing,Rowing - Adaptive,Lottery
"63,357.00",09/04/2009,Badminton England,Badminton,Lottery
"15,696.00",09/04/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"2,475.00",09/04/2009,British Judo Association,Judo - Visually Impaired,Lottery
"7,408.00",09/04/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"66,176.00",09/04/2009,British Volleyball Federation,Volleyball,Lottery
"218,467.00",09/04/2009,British Amateur Boxing Association Ltd,Boxing,Exchequer
"3,708.00",09/04/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"24,048.00",09/04/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"286,220.00",09/04/2009,British Swimming,Swimming,Lottery
"16,681.00",09/04/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"46,246.00",09/04/2009,British Triathlon Federation,Triathlon,Exchequer
"32,725.00",09/04/2009,Royal Yachting Association,Sailing,Lottery
"16,029.00",09/04/2009,British Rowing,Rowing - Adaptive,Exchequer
"9,258.00",09/04/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"38,277.00",09/04/2009,Grand National Archery Society,Archery,Exchequer
"282,669.00",09/04/2009,Royal Yachting Association,Sailing,Lottery
"77,276.00",09/04/2009,British Gymnastics,Gymnastics - Women's Artistic,Lottery
"1,853.00",09/04/2009,Great Britain Boccia,Boccia,Lottery
"12,019.00",09/04/2009,Royal Yachting Association,Sailing - Paralympic,Exchequer
"17,292.00",09/04/2009,British Swimming,Swimming,Lottery
"199,296.00",09/04/2009,Royal Yachting Association,Sailing,Exchequer
"436,161.00",09/04/2009,British Rowing,Rowing,Lottery
"10,179.00",09/04/2009,British Swimming,Water Polo,Lottery
"139,098.00",09/04/2009,British Triathlon Federation,Triathlon,Lottery
"92,691.00",09/04/2009,Sport Taekwondo Limited,Taekwondo,Lottery
"28,057.00",09/04/2009,British Wrestling Association,Wrestling,Lottery
"15,129.00",09/04/2009,Grand National Archery Society,Archery - Paralympic,Exchequer
"292,668.00",20/04/2009,British Cycling Federation,Cycling,Lottery
"15,003.00",20/04/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"46,728.00",20/04/2009,Pentathlon GB,Modern Pentathlon,Lottery
"48,221.00",20/04/2009,British Fencing Association,Fencing,Lottery
"34,575.00",20/04/2009,British Canoe Union,Canoeing,Lottery
"253,479.00",20/04/2009,British Canoe Union,Canoeing,Lottery
"12,780.00",20/04/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"6,417.00",20/04/2009,British Cycling Federation,Cycling,Lottery
"55,128.00",20/04/2009,Pentathlon GB,Modern Pentathlon,Exchequer
"141,345.00",20/04/2009,British Canoe Union,Canoeing,Exchequer
"50,000.00",11/05/2009,British Cycling Federation,Cycling,Lottery
"29,986.00",11/05/2009,British Swimming,Para Swimming,Lottery
"17,408.00",11/05/2009,British Swimming,Para Swimming,Lottery
"33,333.00",11/05/2009,British Swimming,Swimming,Exchequer
"21,424.00",11/05/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,142.00",11/05/2009,British Equestrian Federation,Equestrian,Lottery
"203,326.00",11/05/2009,British Swimming,Swimming,Exchequer
"52,206.00",11/05/2009,British Swimming,Diving,Exchequer
"50,514.00",11/05/2009,British Swimming,Diving,Lottery
"122,463.00",11/05/2009,England Hockey,Hockey,Exchequer
"85,990.00",11/05/2009,British Volleyball Federation,Volleyball,Lottery
"28,795.00",11/05/2009,British Volleyball Federation,Paralympic Volleyball,Lottery
"4,942.00",11/05/2009,British Rowing,Rowing - Adaptive,Lottery
"38,283.00",11/05/2009,British Rowing,Rowing,Lottery
"32,496.00",11/05/2009,Uk Athletics,Disability Athletics,Lottery
"415,954.00",11/05/2009,Uk Athletics,Athletics,Lottery
"12,400.00",11/05/2009,Uk Athletics,Athletics,Lottery
"43,952.00",11/05/2009,British Swimming,Synchronised Swimming,Lottery
"5,217.00",11/05/2009,British Swimming,Diving,Lottery
"26,987.00",11/05/2009,British Swimming,Synchronised Swimming,Exchequer
"207,667.00",11/05/2009,British Performance Basketball Ltd,Basketball,Exchequer
"74,376.00",11/05/2009,Badminton England,Badminton,Exchequer
"90,716.00",11/05/2009,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"20,535.00",11/05/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"4,867.00",11/05/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"66,384.00",11/05/2009,British Judo Association,Judo,Exchequer
"67,311.00",11/05/2009,British Judo Association,Judo,Lottery
"8,064.00",11/05/2009,British Judo Association,Judo - Visually Impaired,Lottery
"9,441.00",11/05/2009,British Judo Association,Judo - Visually Impaired,Exchequer
"33,665.00",11/05/2009,Grand National Archery Society,Archery,Lottery
"14,167.00",11/05/2009,Grand National Archery Society,Archery - Paralympic,Lottery
"50,693.00",11/05/2009,British Shooting,Target Shooting,Lottery
"123,875.00",11/05/2009,British Handball Association,Handball,Lottery
"71,242.00",11/05/2009,British Amateur Boxing Association Ltd,Boxing,Lottery
"23,046.00",11/05/2009,Great Britain Boccia,Boccia,Lottery
"16,029.00",11/05/2009,Great Britain Boccia,Boccia,Exchequer
"54,333.00",11/05/2009,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"23,789.00",11/05/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"14,147.00",11/05/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"38,187.00",11/05/2009,Sport Taekwondo Limited,Taekwondo,Exchequer
"5,144.00",11/05/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"6,258.00",11/05/2009,British Triathlon Federation,Triathlon,Lottery
"22,600.00",11/05/2009,Uk Athletics,Disability Athletics,Lottery
"10,239.00",11/05/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"60,307.00",11/05/2009,British Swimming,Para Swimming,Exchequer
"116,239.00",11/05/2009,British Equestrian Federation,Equestrian,Exchequer
"25,150.00",11/05/2009,British Equestrian Federation,Paralympic Equestrian,Exchequer
"104,320.00",11/05/2009,England Hockey,Hockey,Lottery
"128,080.00",11/05/2009,British Equestrian Federation,Equestrian,Lottery
"47,335.00",11/05/2009,Uk Athletics,Disability Athletics,Exchequer
"12,314.00",11/05/2009,British Rowing,Rowing - Adaptive,Lottery
"63,357.00",11/05/2009,Badminton England,Badminton,Lottery
"15,696.00",11/05/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"2,475.00",11/05/2009,British Judo Association,Judo - Visually Impaired,Lottery
"7,408.00",11/05/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"24,294.00",11/05/2009,British Volleyball Federation,Volleyball,Lottery
"68,467.00",11/05/2009,British Amateur Boxing Association Ltd,Boxing,Exchequer
"3,708.00",11/05/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"24,048.00",11/05/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"286,220.00",11/05/2009,British Swimming,Swimming,Lottery
"16,681.00",11/05/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"46,246.00",11/05/2009,British Triathlon Federation,Triathlon,Exchequer
"32,725.00",11/05/2009,Royal Yachting Association,Sailing,Lottery
"16,029.00",11/05/2009,British Rowing,Rowing - Adaptive,Exchequer
"9,258.00",11/05/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"38,277.00",11/05/2009,Grand National Archery Society,Archery,Exchequer
"212,002.00",11/05/2009,Royal Yachting Association,Sailing,Lottery
"77,276.00",11/05/2009,British Gymnastics,Gymnastics - Women's Artistic,Lottery
"1,853.00",11/05/2009,Great Britain Boccia,Boccia,Lottery
"12,019.00",11/05/2009,Royal Yachting Association,Sailing - Paralympic,Exchequer
"17,292.00",11/05/2009,British Swimming,Swimming,Lottery
"199,296.00",11/05/2009,Royal Yachting Association,Sailing,Exchequer
"436,161.00",11/05/2009,British Rowing,Rowing,Lottery
"10,179.00",11/05/2009,British Swimming,Water Polo,Lottery
"2,198.00",11/05/2009,British Triathlon Federation,Triathlon,Lottery
"92,691.00",11/05/2009,Sport Taekwondo Limited,Taekwondo,Lottery
"28,057.00",11/05/2009,British Wrestling Association,Wrestling,Lottery
"15,129.00",11/05/2009,Grand National Archery Society,Archery - Paralympic,Exchequer
"292,668.00",11/05/2009,British Cycling Federation,Cycling,Lottery
"15,003.00",11/05/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"46,728.00",11/05/2009,Pentathlon GB,Modern Pentathlon,Lottery
"48,221.00",11/05/2009,British Fencing Association,Fencing,Lottery
"34,575.00",11/05/2009,British Canoe Union,Canoeing,Lottery
"253,479.00",11/05/2009,British Canoe Union,Canoeing,Lottery
"12,780.00",11/05/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"6,417.00",11/05/2009,British Cycling Federation,Cycling,Lottery
"55,128.00",11/05/2009,Pentathlon GB,Modern Pentathlon,Exchequer
"141,345.00",11/05/2009,British Canoe Union,Canoeing,Exchequer
"25,000.00",11/05/2009,British Athletes Commission,,Exchequer
"359,126.00",11/05/2009,British Cycling Federation,Cycling,Exchequer
"1,716.00",11/05/2009,British Cycling Federation,Cycling - Paralympic,Lottery
"54,626.00",11/05/2009,British Cycling Federation,Cycling - Paralympic,Lottery
"11,484.00",11/05/2009,The Tennis Foundation,Disability Tennis,Lottery
"52,092.00",11/05/2009,British Cycling Federation,Cycling - Paralympic,Exchequer
"16,038.00",11/05/2009,The Tennis Foundation,Disability Tennis,Exchequer
"22,282.00",11/05/2009,British Blind Sport - Goalball,,Lottery
"25,000.00",19/05/2009,British Orienteering Federation,,Exchequer
"2,273,197.00",22/04/2009,English Institute of Sport Company,,Exchequer
"56,250.00",22/04/2009,Sport Resolutions UK,,Exchequer
"29,986.00",09/06/2009,British Swimming,Para Swimming,Lottery
"17,408.00",09/06/2009,British Swimming,Para Swimming,Lottery
"21,424.00",09/06/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,142.00",09/06/2009,British Equestrian Federation,Equestrian,Lottery
"203,326.00",09/06/2009,British Swimming,Swimming,Exchequer
"52,206.00",09/06/2009,British Swimming,Diving,Exchequer
"50,514.00",09/06/2009,British Swimming,Diving,Lottery
"122,463.00",09/06/2009,England Hockey,Hockey,Exchequer
"78,005.00",09/06/2009,British Volleyball Federation,Volleyball,Lottery
"26,548.00",09/06/2009,British Volleyball Federation,Paralympic Volleyball,Lottery
"4,942.00",09/06/2009,British Rowing,Rowing - Adaptive,Lottery
"38,283.00",09/06/2009,British Rowing,Rowing,Lottery
"32,496.00",09/06/2009,Uk Athletics,Disability Athletics,Lottery
"415,954.00",09/06/2009,Uk Athletics,Athletics,Lottery
"12,400.00",09/06/2009,Uk Athletics,Athletics,Lottery
"43,952.00",09/06/2009,British Swimming,Synchronised Swimming,Lottery
"5,217.00",09/06/2009,British Swimming,Diving,Lottery
"26,987.00",09/06/2009,British Swimming,Synchronised Swimming,Exchequer
"277,833.00",09/06/2009,British Performance Basketball Ltd,Basketball,Exchequer
"74,376.00",09/06/2009,Badminton England,Badminton,Exchequer
"90,716.00",09/06/2009,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"20,535.00",09/06/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"4,867.00",09/06/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"66,384.00",09/06/2009,British Judo Association,Judo,Exchequer
"67,311.00",09/06/2009,British Judo Association,Judo,Lottery
"8,064.00",09/06/2009,British Judo Association,Judo - Visually Impaired,Lottery
"9,441.00",09/06/2009,British Judo Association,Judo - Visually Impaired,Exchequer
"33,665.00",09/06/2009,Grand National Archery Society,Archery,Lottery
"14,167.00",09/06/2009,Grand National Archery Society,Archery - Paralympic,Lottery
"50,693.00",09/06/2009,British Shooting,Target Shooting,Lottery
"71,242.00",09/06/2009,British Amateur Boxing Association Ltd,Boxing,Lottery
"23,046.00",09/06/2009,Great Britain Boccia,Boccia,Lottery
"16,029.00",09/06/2009,Great Britain Boccia,Boccia,Exchequer
"54,333.00",09/06/2009,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"23,789.00",09/06/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"14,147.00",09/06/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"38,187.00",09/06/2009,Sport Taekwondo Limited,Taekwondo,Exchequer
"5,144.00",09/06/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"6,258.00",09/06/2009,British Triathlon Federation,Triathlon,Lottery
"22,600.00",09/06/2009,Uk Athletics,Disability Athletics,Lottery
"10,239.00",09/06/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"60,307.00",09/06/2009,British Swimming,Para Swimming,Exchequer
"116,239.00",09/06/2009,British Equestrian Federation,Equestrian,Exchequer
"25,150.00",09/06/2009,British Equestrian Federation,Paralympic Equestrian,Exchequer
"104,320.00",09/06/2009,England Hockey,Hockey,Lottery
"128,080.00",09/06/2009,British Equestrian Federation,Equestrian,Lottery
"47,335.00",09/06/2009,Uk Athletics,Disability Athletics,Exchequer
"12,314.00",09/06/2009,British Rowing,Rowing - Adaptive,Lottery
"63,357.00",09/06/2009,Badminton England,Badminton,Lottery
"15,696.00",09/06/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"2,475.00",09/06/2009,British Judo Association,Judo - Visually Impaired,Lottery
"7,408.00",09/06/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"21,976.00",09/06/2009,British Volleyball Federation,Volleyball,Lottery
"68,467.00",09/06/2009,British Amateur Boxing Association Ltd,Boxing,Exchequer
"3,708.00",09/06/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"24,048.00",09/06/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"286,220.00",09/06/2009,British Swimming,Swimming,Lottery
"16,681.00",09/06/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"46,246.00",09/06/2009,British Triathlon Federation,Triathlon,Exchequer
"32,725.00",09/06/2009,Royal Yachting Association,Sailing,Lottery
"16,029.00",09/06/2009,British Rowing,Rowing - Adaptive,Exchequer
"9,258.00",09/06/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"38,277.00",09/06/2009,Grand National Archery Society,Archery,Exchequer
"212,002.00",09/06/2009,Royal Yachting Association,Sailing,Lottery
"77,276.00",09/06/2009,British Gymnastics,Gymnastics - Women's Artistic,Lottery
"1,853.00",09/06/2009,Great Britain Boccia,Boccia,Lottery
"12,019.00",09/06/2009,Royal Yachting Association,Sailing - Paralympic,Exchequer
"17,292.00",09/06/2009,British Swimming,Swimming,Lottery
"199,296.00",09/06/2009,Royal Yachting Association,Sailing,Exchequer
"436,161.00",09/06/2009,British Rowing,Rowing,Lottery
"10,179.00",09/06/2009,British Swimming,Water Polo,Lottery
"37,598.00",09/06/2009,British Triathlon Federation,Triathlon,Lottery
"92,691.00",09/06/2009,Sport Taekwondo Limited,Taekwondo,Lottery
"28,057.00",09/06/2009,British Wrestling Association,Wrestling,Lottery
"15,129.00",09/06/2009,Grand National Archery Society,Archery - Paralympic,Exchequer
"292,668.00",09/06/2009,British Cycling Federation,Cycling,Lottery
"15,003.00",09/06/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"46,728.00",09/06/2009,Pentathlon GB,Modern Pentathlon,Lottery
"48,221.00",09/06/2009,British Fencing Association,Fencing,Lottery
"34,575.00",09/06/2009,British Canoe Union,Canoeing,Lottery
"253,479.00",09/06/2009,British Canoe Union,Canoeing,Lottery
"12,780.00",09/06/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"6,417.00",09/06/2009,British Cycling Federation,Cycling,Lottery
"55,128.00",09/06/2009,Pentathlon GB,Modern Pentathlon,Exchequer
"141,345.00",09/06/2009,British Canoe Union,Canoeing,Exchequer
"179,563.00",09/06/2009,British Cycling Federation,Cycling,Exchequer
858.00,09/06/2009,British Cycling Federation,Cycling - Paralympic,Lottery
"27,313.00",09/06/2009,British Cycling Federation,Cycling - Paralympic,Lottery
"5,742.00",09/06/2009,The Tennis Foundation,Disability Tennis,Lottery
"26,046.00",09/06/2009,British Cycling Federation,Cycling - Paralympic,Exchequer
"8,019.00",09/06/2009,The Tennis Foundation,Disability Tennis,Exchequer
"11,141.00",09/06/2009,British Blind Sport - Goalball,,Lottery
"6,250.00",09/06/2009,British Orienteering Federation,,Exchequer
"112,500.00",09/06/2009,British Paralympic Performance Services Ltd,,Exchequer
"62,000.00",09/06/2009,British Water Ski Federation,,Exchequer
"33,333.00",09/06/2009,British Swimming,Swimming,Exchequer
"33,333.00",09/07/2009,British Swimming,Swimming,Exchequer
"61,000.00",09/07/2009,British Curling Association,Curling,Lottery
"48,615.00",09/07/2009,British Bob Skeleton Association,Skeleton,Lottery
"19,750.00",09/07/2009,British Curling Association,Wheelchair Curling,Exchequer
"8,000.00",09/07/2009,Disability Snowsport UK,Paralympic Skiing,Exchequer
"15,000.00",09/07/2009,National Ice Skating Association,Figure Skating,Exchequer
"40,000.00",09/07/2009,National Ice Skating Association,Speed Skating,Exchequer
"750,000.00",09/07/2009,Sports Aid,,Exchequer
"46,022.00",09/07/2009,British Swimming,Para Swimming,Lottery
"17,408.00",09/07/2009,British Swimming,Para Swimming,Lottery
"21,424.00",09/07/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,142.00",09/07/2009,British Equestrian Federation,Equestrian,Lottery
"203,326.00",09/07/2009,British Swimming,Swimming,Exchequer
"52,206.00",09/07/2009,British Swimming,Diving,Exchequer
"50,799.00",09/07/2009,British Swimming,Diving,Lottery
"122,463.00",09/07/2009,England Hockey,Hockey,Exchequer
"73,289.00",09/07/2009,British Volleyball Federation,Volleyball,Lottery
"25,221.00",09/07/2009,British Volleyball Federation,Paralympic Volleyball,Lottery
"4,942.00",09/07/2009,British Rowing,Rowing - Adaptive,Lottery
"38,283.00",09/07/2009,British Rowing,Rowing,Lottery
"32,496.00",09/07/2009,Uk Athletics,Disability Athletics,Lottery
"415,954.00",09/07/2009,Uk Athletics,Athletics,Lottery
"12,400.00",09/07/2009,Uk Athletics,Athletics,Lottery
"28,197.00",09/07/2009,British Swimming,Synchronised Swimming,Lottery
"5,217.00",09/07/2009,British Swimming,Diving,Lottery
"26,987.00",09/07/2009,British Swimming,Synchronised Swimming,Exchequer
"119,514.00",09/07/2009,British Performance Basketball Ltd,Basketball,Exchequer
"74,376.00",09/07/2009,Badminton England,Badminton,Exchequer
"90,716.00",09/07/2009,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"6,609.00",09/07/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"4,867.00",09/07/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"66,384.00",09/07/2009,British Judo Association,Judo,Exchequer
"67,311.00",09/07/2009,British Judo Association,Judo,Lottery
"8,064.00",09/07/2009,British Judo Association,Judo - Visually Impaired,Lottery
"9,441.00",09/07/2009,British Judo Association,Judo - Visually Impaired,Exchequer
"33,665.00",09/07/2009,Grand National Archery Society,Archery,Lottery
"14,167.00",09/07/2009,Grand National Archery Society,Archery - Paralympic,Lottery
"50,693.00",09/07/2009,British Shooting,Target Shooting,Lottery
"55,633.00",09/07/2009,British Handball Association,Handball,Lottery
"96,249.00",09/07/2009,British Amateur Boxing Association Ltd,Boxing,Lottery
"23,046.00",09/07/2009,Great Britain Boccia,Boccia,Lottery
"16,029.00",09/07/2009,Great Britain Boccia,Boccia,Exchequer
"47,667.00",09/07/2009,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"38,976.00",09/07/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"16,789.00",09/07/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"38,187.00",09/07/2009,Sport Taekwondo Limited,Taekwondo,Exchequer
"2,454.00",09/07/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"6,258.00",09/07/2009,British Triathlon Federation,Triathlon,Lottery
"22,600.00",09/07/2009,Uk Athletics,Disability Athletics,Lottery
"10,239.00",09/07/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"60,307.00",09/07/2009,British Swimming,Para Swimming,Exchequer
"116,239.00",09/07/2009,British Equestrian Federation,Equestrian,Exchequer
"25,150.00",09/07/2009,British Equestrian Federation,Paralympic Equestrian,Exchequer
"104,320.00",09/07/2009,England Hockey,Hockey,Lottery
"148,799.00",09/07/2009,British Equestrian Federation,Equestrian,Lottery
"47,335.00",09/07/2009,Uk Athletics,Disability Athletics,Exchequer
"16,341.00",09/07/2009,British Rowing,Rowing - Adaptive,Lottery
"63,357.00",09/07/2009,Badminton England,Badminton,Lottery
"15,696.00",09/07/2009,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"2,475.00",09/07/2009,British Judo Association,Judo - Visually Impaired,Lottery
"7,408.00",09/07/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"21,107.00",09/07/2009,British Volleyball Federation,Volleyball,Lottery
"68,467.00",09/07/2009,British Amateur Boxing Association Ltd,Boxing,Exchequer
"3,708.00",09/07/2009,Royal Yachting Association,Sailing - Paralympic,Lottery
"24,048.00",09/07/2009,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"279,247.00",09/07/2009,British Swimming,Swimming,Lottery
"16,681.00",09/07/2009,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"46,246.00",09/07/2009,British Triathlon Federation,Triathlon,Exchequer
"32,725.00",09/07/2009,Royal Yachting Association,Sailing,Lottery
"16,029.00",09/07/2009,British Rowing,Rowing - Adaptive,Exchequer
"9,258.00",09/07/2009,British Equestrian Federation,Paralympic Equestrian,Lottery
"123,277.00",09/07/2009,Grand National Archery Society,Archery,Exchequer
"174,961.00",09/07/2009,Royal Yachting Association,Sailing,Lottery
"77,276.00",09/07/2009,British Gymnastics,Gymnastics - Women's Artistic,Lottery
"1,853.00",09/07/2009,Great Britain Boccia,Boccia,Lottery
"12,019.00",09/07/2009,Royal Yachting Association,Sailing - Paralympic,Exchequer
"17,292.00",09/07/2009,British Swimming,Swimming,Lottery
"199,296.00",09/07/2009,Royal Yachting Association,Sailing,Exchequer
"451,996.00",09/07/2009,British Rowing,Rowing,Lottery
"61,770.00",09/07/2009,British Swimming,Water Polo,Lottery
"42,098.00",09/07/2009,British Triathlon Federation,Triathlon,Lottery
"24,951.00",09/07/2009,Sport Taekwondo Limited,Taekwondo,Lottery
"21,647.00",09/07/2009,British Wrestling Association,Wrestling,Lottery
"15,129.00",09/07/2009,Grand National Archery Society,Archery - Paralympic,Exchequer
"266,456.00",09/07/2009,British Cycling Federation,Cycling,Lottery
"15,003.00",09/07/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"46,728.00",09/07/2009,Pentathlon GB,Modern Pentathlon,Lottery
"42,763.00",09/07/2009,British Fencing Association,Fencing,Lottery
"34,575.00",09/07/2009,British Canoe Union,Canoeing,Lottery
"88,997.00",09/07/2009,British Canoe Union,Canoeing,Lottery
"12,780.00",09/07/2009,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"6,417.00",09/07/2009,British Cycling Federation,Cycling,Lottery
"55,094.00",09/07/2009,Pentathlon GB,Modern Pentathlon,Exchequer
