,location,my_value,pump,distance,x_index,y_index
573, 43 -  Broadwick Street,15,1 Bridle Lane,200.815988637,0,0
317,The Diner -  Ganton Street,8,1 Bridle Lane,276.587085947,0,1
909, 6 -  Green's Court,8,1 Bridle Lane,141.259876924,0,2
941,Misan Fabrics -  Tyler's Court,8,1 Bridle Lane,198.951540025,0,3
893,Westminster Kingsway College -  Ingestre Place,7,1 Bridle Lane,142.099641032,0,4
597,51 -  Lexington Street,5,1 Bridle Lane,184.373181469,0,5
933,Inglestre Court -  Ingestre Place,5,1 Bridle Lane,188.186522069,0,6
1269,Busaba Eathai -  Wardour Street,5,1 Bridle Lane,286.956515286,0,7
1357,21-25 -  St. Anne's Court,5,1 Bridle Lane,362.128650994,0,8
1725, 34 -  Broadwick Street,5,1 Bridle Lane,269.312081396,0,9
1741,TalkTalk -  20-24,5,1 Bridle Lane,255.340901951,0,10
1749,TalkTalk -  20-24,5,1 Bridle Lane,275.96691537,0,11
1781, 34 -  Broadwick Street,5,1 Bridle Lane,239.20683423,0,12
1941,45 -  Fouberts Place,5,1 Bridle Lane,317.983279691,0,13
37,Patisserie Valerie -  Marshall Street,4,1 Bridle Lane,225.057123812,0,14
117, 72 -  Broadwick Street,4,1 Bridle Lane,242.579242554,0,15
149,68 -  Broadwick Street,4,1 Bridle Lane,220.733234017,0,16
373,American Apparel -  Carnaby Street,4,1 Bridle Lane,173.977598702,0,17
413,Polpo -  Beak Street,4,1 Bridle Lane,156.552094046,0,18
565,GLP -  Broadwick Street,4,1 Bridle Lane,200.486583958,0,19
589, 41 -  Broadwick Street,4,1 Bridle Lane,203.060316708,0,20
757,34 -  Great Pulteney Street,4,1 Bridle Lane,49.976136697,0,21
781,6 -  Great Pulteney Street,4,1 Bridle Lane,49.6404175137,0,22
789,Bill's -  36-44,4,1 Bridle Lane,67.1969236844,0,23
805,11a -  Lexington Street,4,1 Bridle Lane,86.7939628591,0,24
869, 41 -  Lexington Street,4,1 Bridle Lane,146.207588255,0,25
1397,21-25 -  St. Anne's Court,4,1 Bridle Lane,370.225116626,0,26
1717, 34 -  Broadwick Street,4,1 Bridle Lane,273.097220363,0,27
1789, 34 -  Broadwick Street,4,1 Bridle Lane,237.033878002,0,28
1797, 34 -  Broadwick Street,4,1 Bridle Lane,230.234206006,0,29
1813,50 -  Broadwick Street,4,1 Bridle Lane,219.536051932,0,30
